q,t,action,v
71,13.0,15.0,555.3130248
71,14.0,15.0,455.027
71,15.0,5.0,355.0
72,1.0,20.0,340.26049769017266
72,2.0,20.0,1307.8437857313022
72,3.0,20.0,1267.2801963078673
72,4.0,20.0,1226.9881228608567
72,5.0,20.0,1186.4793861458572
72,6.0,20.0,1145.840318223929
72,7.0,15.0,1105.2673832167686
72,8.0,15.0,1053.5267427901506
72,9.0,15.0,960.3850846751903
72,10.0,10.0,860.273833102548
72,11.0,10.0,760.5350723664448
72,12.0,10.0,660.19601921913
72,13.0,10.0,560.23559885
72,14.0,10.0,460.05150000000003
72,15.0,5.0,360.0
73,1.0,20.0,337.4725906866298
73,2.0,20.0,1319.1359492485337
73,3.0,20.0,1278.7340042669905
73,4.0,20.0,1238.2402398587915
73,5.0,20.0,1197.7318344261205
73,6.0,15.0,1157.1478834228067
73,7.0,15.0,1116.6448351806514
73,8.0,15.0,1060.8106507555453
73,9.0,15.0,965.2531961013357
73,10.0,10.0,865.2792242982352
73,11.0,15.0,765.4652118730141
73,12.0,15.0,665.2264838045301
73,13.0,15.0,565.1322185
73,14.0,10.0,464.7835
73,15.0,5.0,365.0
74,1.0,20.0,334.788441781692
74,2.0,20.0,1330.3597394688395
74,3.0,20.0,1290.1019512985176
74,4.0,20.0,1249.5792151776009
74,5.0,20.0,1209.0478308796833
